file_name	seed	formula_x	formula_y
2021-10-12-12-44_seed_3199.png	3199	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_7474.png	7474	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_6706.png	6706	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_6950.png	6950	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_1678.png	1678	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_6548.png	6548	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_1384.png	1384	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_7723.png	7723	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_1248.png	1248	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_4849.png	4849	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_7303.png	7303	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_2000.png	2000	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_6949.png	6949	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_9400.png	9400	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_5321.png	5321	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-45_seed_1598.png	1598	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_4597.png	4597	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_5748.png	5748	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_3756.png	3756	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_8580.png	8580	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_1360.png	1360	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_5832.png	5832	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_6392.png	6392	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_2150.png	2150	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_10000.png	10000	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_1564.png	1564	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
2021-10-12-12-46_seed_3273.png	3273	runif(1, -1, 1) * x_i^j + sin(y_i^j)	runif(1, -1, 1) * y_i^j - cos(x_i^j)
