Number,Depth,Fraction,Min. Temp,Max. Temp,T50,Frac Prop,TFrac. Prop. Mass,uE,sigmaE,Bulk uE,Bulk sE,Fm,Fm error,d13C,d13C Error,Bulk Fm,Cum. Fm,% Fm Err,Bulk d13C,Cum. d13C,Cum. d13C err,Group,Measured,Corr_Fm
1,30-50,MOM,140,285,261,0.763,0.239,127.5484207,7.992803676,137.8505621,16.10087038,0.7731,0.0016,-26.05,0.15,0.786,0.7674593,2.387021018,-26.05,-16.05467,-9.99533,Density,T,
2,30-50,MOM,285,345,314,,0.374,139.7848918,6.338010574,,,0.7914,0.0012,-26.28,0.15,,,,,,,Density,T,
3,30-50,MOM,345,395,367,,0.178,153.1518777,6.815954477,,,0.7814,0.0016,,,,,,,,,Density,T,
4,30-50,MOM,395,750,445,,0.211,169.9220193,11.98622556,,,0.6996,0.0014,,,,,,,,,Density,T,
,,,,,,,,,,,,,,,,,,,,,,,,
1,30-50,MOM,140,285,261,,0.239,122.3611724,8.037218734,,,0.7731,0.0016,,,0.786,0.7566929,3.799472986,,,,Density,T,0.773530612
2,30-50,MOM,285,345,314,,0.374,132.9069778,5.687428117,,,0.7914,0.0012,,,,,,,,,Density,T,0.791503625
3,30-50,MOM,345,415,367,,0.226,145.3198246,7.693750638,,,0.7814,0.0016,,,,,,,,,Density,T,0.781610871
4,30-50,MOM,415,455,432,,0.074,158.9444442,5.937039292,,,0.762,0.014,,,,,,,,,Density,F,0.76240459
5,30-50,MOM,455,505,475,,0.048,167.7979606,6.574720154,,,0.705,0.022,,,,,,,,,Density,F,0.70598681
6,30-50,MOM,505,750,566,,0.042,185.8871488,10.24899753,,,0.217,0.02,,,,,,,,,Density,F,0.232456839
,,,,,,,,,,,,,,,,,,,,,,,,
1,30-50,NaF Res.,140,270,244,0.299,0.2375,118.0952801,8.861262011,137.9192937,24.66730986,0.7984,0.0014,,,0.713,0.721961421,1.24901214,,,,Chemical,T,0.800158616
2,30-50,NaF Res.,270,310,291,,0.2735,128.0792916,4.785056447,,,0.7857,0.0016,,,,,,,,,Chemical,T,0.786203384
3,30-50,NaF Res.,310,360,331,,0.2175,135.9448216,6.000793498,,,0.7577,0.0013,,,,,,,,,Chemical,T,0.758607318
4,30-50,NaF Res.,360,750,440,,0.2715,165.9519229,23.46341812,,,0.5623,0.0012,,,,,,,,,Chemical,T,0.573031311
,,,,,,,,,,,,,,,,,,,,,,,,
1,30-50,H2O2 Res.,140,302,274,0.155,0.2815,125.8992903,8.237497869,141.2239952,17.73367879,0.6879,0.0019,,,0.628,0.647737723,3.094323069,,,,Chemical,T,0.690305119
2,30-50,H2O2 Res.,302,354,327,,0.2985,135.8556014,5.851031355,,,0.7516,0.0017,,,,,,,,,Chemical,T,0.752167383
3,30-50,H2O2 Res.,354,402,375,,0.1755,146.8567101,7.047095251,,,0.73,0.0016,,,,,,,,,Chemical,T,0.730976336
4,30-50,H2O2 Res.,402,800,460,,0.2455,167.048879,14.44677531,,,0.4139,0.0015,,,,,,,,,Chemical,T,0.42710666
