"temp","CO2_av","CO2_med","Moving*","Modelled","CO2_scaled","CO2_prop"
295,35603.7777777778,35560,34332.7212515263,36859.5816751109,34332.7212515263,0.606633411693973
296,39653,39653,35135.2962515262,37618.7461250261,35135.2962515262,0.620814309468531
297,39382,39382,35883.8212515262,38131.5544985914,35883.8212515262,0.634040184317238
298,38904.5,38904.5,36600.5962515263,38384.8267334381,36600.5962515263,0.646705060499974
299,38242,38242,37308.2712515262,38385.814367278,37308.2712515262,0.659209146513879
300,37711.4,37664,37656.4837515262,38223.4953381432,37656.4837515262,0.665361799993396
301,37072.5,36551,38010.7837515262,38007.2791841462,38010.7837515262,0.67162201502816
302,36060.7142857143,35809,38366.8962515262,37846.5754433997,38366.8962515262,0.67791425557732
303,36533,36475,38607.0176800977,37850.7936540159,38607.0176800977,0.68215702096629
304,39618,39618,38768.9779365079,38097.5527302205,38768.9779365079,0.685018737117049
305,40127,40127,38994.339047619,38537.3090906906,38994.339047619,0.689000698776741
306,40607.5,40646,38945.5057142857,39088.7285302165,38945.5057142857,0.688137850434853
307,39880.5,39773.5,38873.7848809524,39670.4768435884,38873.7848809524,0.686870597149109
308,39522.5,39522.5,38808.551547619,40201.2198255965,38808.551547619,0.685717973118341
309,39617,39617,38717.1015476191,40599.6232710312,38717.1015476191,0.684102120267849
313,39893,39893,38658.7565476191,40445.4862667999,38658.7565476191,0.68307120791616
314,40061.5,40061.5,38624.5190476191,40108.1484781207,38624.5190476191,0.682466256992501
315,40193,40193,38659.7633333333,39714.057492216,38659.7633333333,0.68308899706396
316,38982,40243,38667.8077777778,39294.5974179975,38667.8077777778,0.683231136358505
317,37714.6666666667,36521,38444.7077777778,38881.1523643767,38444.7077777778,0.67928912683478
318,40111,40111,38195.4827777778,38498.9378908326,38195.4827777778,0.674885508172519
319,38676.3333333333,39747,38006.0577777778,38148.4953591143,38006.0577777778,0.67153851061971
320,37947.5833333333,37816,37686.7327777778,37824.1975815382,37686.7327777778,0.66589627757998
321,37599.8333333333,37621,37359.6827777778,37520.4173704207,37359.6827777778,0.660117549589239
322,36413,36413,37005.8827777778,37231.5275380782,37005.8827777778,0.653866169179136
323,36544.5,36544.5,36623.3827777778,36951.9008968273,36623.3827777778,0.647107681313493
324,36387.75,36807,36245.0077777778,36675.4354685247,36245.0077777778,0.640422079101303
325,36765.6,37290,35850.8827777778,36394.1301131884,35850.8827777778,0.633458186212292
